created_at,entry_id,field1,field2,field3,field4,field5,field6
2019-02-19 14:46:51 UTC,141,166.0,23.55,387.0,2.0,0.0,
2019-02-19 14:56:50 UTC,142,178.0,23.66,387.0,2.0,0.0,
2019-02-19 15:06:49 UTC,143,154.0,23.71,391.0,2.0,0.0,
2019-02-19 15:16:48 UTC,144,183.0,23.77,389.0,2.0,0.0,
2019-02-19 15:26:47 UTC,145,80.0,23.82,387.0,2.0,0.0,
2019-02-19 15:36:46 UTC,146,51.0,23.88,390.0,2.0,0.0,
2019-02-19 15:46:46 UTC,147,134.0,23.88,389.0,2.0,0.0,
2019-02-19 15:56:44 UTC,148,120.0,23.82,388.0,2.0,0.0,
2019-02-19 16:06:43 UTC,149,145.0,23.77,388.0,2.0,0.0,
2019-02-19 16:16:43 UTC,150,159.0,23.71,389.0,2.0,0.0,
2019-02-19 16:26:40 UTC,151,194.0,23.61,390.0,2.0,0.0,
2019-02-19 21:22:03 UTC,152,63.0,24.58,384.0,2.0,0.0,
2019-02-19 21:22:51 UTC,153,61.0,24.58,386.0,2.0,0.0,
2019-02-19 21:32:52 UTC,154,41.0,24.58,384.0,2.0,0.0,
2019-02-19 21:42:51 UTC,155,41.0,24.58,381.0,2.0,0.0,
2019-02-19 21:52:50 UTC,156,31.0,24.58,383.0,2.0,0.0,
2019-02-19 22:02:50 UTC,157,41.0,24.58,381.0,2.0,0.0,
2019-02-19 22:12:49 UTC,158,28.0,24.53,382.0,2.0,0.0,
2019-02-19 22:22:48 UTC,159,15.0,24.53,382.0,2.0,0.0,
2019-02-19 22:32:48 UTC,160,9.0,24.47,383.0,2.0,0.0,
2019-02-19 22:42:47 UTC,161,4.0,24.47,382.0,2.0,0.0,
2019-02-19 22:52:46 UTC,162,4.0,24.42,385.0,2.0,0.0,
2019-02-19 23:02:45 UTC,163,0.0,24.42,382.0,2.0,0.0,
2019-02-19 23:12:44 UTC,164,0.0,24.36,385.0,2.0,0.0,
2019-02-19 23:22:43 UTC,165,0.0,24.31,384.0,2.0,0.0,
2019-02-19 23:32:42 UTC,166,0.0,24.26,383.0,2.0,0.0,
2019-02-19 23:42:41 UTC,167,0.0,24.26,385.0,2.0,0.0,
2019-02-19 23:52:40 UTC,168,0.0,24.2,383.0,2.0,0.0,
2019-02-20 00:02:39 UTC,169,0.0,24.15,383.0,2.0,0.0,
2019-02-20 00:12:38 UTC,170,0.0,24.09,384.0,2.0,0.0,
2019-02-20 00:22:37 UTC,171,0.0,24.04,381.0,2.0,0.0,
2019-02-20 00:32:36 UTC,172,0.0,23.98,384.0,2.0,0.0,
2019-02-20 00:42:35 UTC,173,0.0,23.93,386.0,2.0,0.0,
2019-02-20 00:52:34 UTC,174,0.0,23.88,384.0,2.0,0.0,
2019-02-20 01:02:32 UTC,175,0.0,23.82,384.0,2.0,0.0,
2019-02-20 01:12:31 UTC,176,0.0,23.77,386.0,2.0,0.0,
2019-02-20 01:22:30 UTC,177,0.0,23.71,387.0,2.0,0.0,
2019-02-20 01:32:29 UTC,178,0.0,23.66,384.0,2.0,0.0,
2019-02-20 01:42:27 UTC,179,0.0,23.61,385.0,2.0,0.0,
2019-02-20 01:52:26 UTC,180,0.0,23.55,385.0,2.0,0.0,
2019-02-20 02:02:25 UTC,181,0.0,23.55,382.0,2.0,0.0,
2019-02-20 02:12:23 UTC,182,0.0,23.5,385.0,2.0,0.0,
2019-02-20 02:22:22 UTC,183,0.0,23.44,385.0,2.0,0.0,
2019-02-20 02:32:20 UTC,184,0.0,23.44,383.0,2.0,0.0,
2019-02-20 02:42:19 UTC,185,0.0,23.39,384.0,2.0,0.0,
2019-02-20 02:52:18 UTC,186,0.0,23.34,383.0,2.0,0.0,
2019-02-20 03:02:16 UTC,187,0.0,23.34,387.0,2.0,0.0,
2019-02-20 03:12:15 UTC,188,0.0,23.28,384.0,2.0,0.0,
2019-02-20 03:22:13 UTC,189,0.0,23.23,383.0,2.0,0.0,
2019-02-20 03:32:12 UTC,190,0.0,23.17,382.0,2.0,0.0,
2019-02-20 03:42:11 UTC,191,0.0,23.17,383.0,2.0,0.0,
2019-02-20 03:52:09 UTC,192,0.0,23.12,383.0,2.0,0.0,
2019-02-20 04:02:08 UTC,193,0.0,23.12,388.0,2.0,0.0,
2019-02-20 04:12:06 UTC,194,0.0,23.07,385.0,2.0,0.0,
2019-02-20 04:22:05 UTC,195,0.0,23.07,386.0,2.0,0.0,
2019-02-20 04:32:03 UTC,196,0.0,23.01,388.0,2.0,0.0,
2019-02-20 04:42:02 UTC,197,0.0,23.01,386.0,2.0,0.0,
2019-02-20 04:52:00 UTC,198,0.0,22.96,386.0,2.0,0.0,
2019-02-20 05:01:59 UTC,199,0.0,22.96,386.0,2.0,0.0,
2019-02-20 05:11:57 UTC,200,0.0,22.9,385.0,2.0,0.0,
2019-02-20 05:21:56 UTC,201,0.0,22.85,383.0,2.0,0.0,
2019-02-20 05:31:54 UTC,202,0.0,22.8,387.0,2.0,0.0,
2019-02-20 05:41:53 UTC,203,0.0,22.74,383.0,2.0,0.0,
2019-02-20 05:51:51 UTC,204,0.0,22.69,386.0,2.0,0.0,
2019-02-20 06:01:49 UTC,205,0.0,22.63,388.0,2.0,0.0,
2019-02-20 06:11:48 UTC,206,0.0,22.58,388.0,2.0,0.0,
2019-02-20 06:21:46 UTC,207,0.0,22.58,384.0,2.0,0.0,
2019-02-20 06:31:44 UTC,208,0.0,22.58,383.0,2.0,0.0,
2019-02-20 06:41:43 UTC,209,0.0,22.52,383.0,2.0,0.0,
2019-02-20 06:51:41 UTC,210,0.0,22.52,384.0,2.0,0.0,
2019-02-20 07:01:40 UTC,211,0.0,22.52,385.0,2.0,0.0,
2019-02-20 07:11:38 UTC,212,0.0,22.52,387.0,2.0,0.0,
2019-02-20 07:21:36 UTC,213,0.0,22.52,387.0,2.0,0.0,
2019-02-20 07:31:35 UTC,214,0.0,22.52,384.0,2.0,0.0,
2019-02-20 07:41:33 UTC,215,0.0,22.47,384.0,2.0,0.0,
2019-02-20 07:51:31 UTC,216,0.0,22.42,384.0,2.0,0.0,
2019-02-20 08:01:29 UTC,217,0.0,22.42,383.0,2.0,0.0,
2019-02-20 08:11:28 UTC,218,0.0,22.42,385.0,2.0,0.0,
2019-02-20 08:21:26 UTC,219,0.0,22.42,387.0,2.0,0.0,
2019-02-20 08:31:24 UTC,220,0.0,22.36,387.0,2.0,0.0,
2019-02-20 08:41:23 UTC,221,0.0,22.36,385.0,2.0,0.0,
2019-02-20 08:51:21 UTC,222,0.0,22.36,384.0,2.0,0.0,
2019-02-20 09:01:19 UTC,223,0.0,22.31,382.0,2.0,0.0,
2019-02-20 09:11:17 UTC,224,0.0,22.31,383.0,2.0,0.0,
2019-02-20 09:21:16 UTC,225,0.0,22.31,383.0,2.0,0.0,
2019-02-20 09:31:14 UTC,226,0.0,22.25,387.0,2.0,0.0,
2019-02-20 09:41:12 UTC,227,0.0,22.25,384.0,2.0,0.0,
