created_at,field1,field2,field3,field4,field5,Time
2018-11-03 03:57:03 UTC,0.0,22.42,387.0,2.0,0.0,02/11/18 22:57:03
2018-11-03 04:06:47 UTC,0.0,22.42,385.0,2.0,0.0,02/11/18 23:06:47
2018-11-03 04:16:32 UTC,0.0,22.36,385.0,2.0,0.0,02/11/18 23:16:32
2018-11-03 04:26:17 UTC,0.0,22.36,392.0,2.0,0.0,02/11/18 23:26:17
2018-11-03 04:36:02 UTC,0.0,22.36,386.0,2.0,0.0,02/11/18 23:36:02
2018-11-03 04:45:46 UTC,0.0,22.31,384.0,2.0,0.0,02/11/18 23:45:46
2018-11-03 04:55:31 UTC,0.0,22.31,385.0,2.0,0.0,02/11/18 23:55:31
2018-11-03 05:05:16 UTC,0.0,22.25,386.0,2.0,0.0,03/11/18 00:05:16
2018-11-03 05:15:00 UTC,0.0,22.25,385.0,2.0,0.0,03/11/18 00:15:00
2018-11-03 05:24:45 UTC,0.0,22.25,386.0,2.0,0.0,03/11/18 00:24:45
2018-11-03 05:34:30 UTC,0.0,22.2,385.0,2.0,0.0,03/11/18 00:34:30
2018-11-03 05:44:15 UTC,0.0,22.2,386.0,2.0,0.0,03/11/18 00:44:15
2018-11-03 05:53:59 UTC,0.0,22.2,386.0,2.0,0.0,03/11/18 00:53:59
2018-11-03 06:03:44 UTC,0.0,22.15,386.0,2.0,0.0,03/11/18 01:03:44
2018-11-03 06:13:28 UTC,0.0,22.15,386.0,2.0,0.0,03/11/18 01:13:28
2018-11-03 06:23:13 UTC,0.0,22.09,386.0,2.0,0.0,03/11/18 01:23:13
2018-11-03 06:32:58 UTC,0.0,22.09,387.0,2.0,0.0,03/11/18 01:32:58
2018-11-03 06:42:42 UTC,0.0,22.09,387.0,2.0,0.0,03/11/18 01:42:42
2018-11-03 06:52:27 UTC,0.0,22.04,386.0,2.0,0.0,03/11/18 01:52:27
2018-11-03 07:02:12 UTC,0.0,22.04,386.0,2.0,0.0,03/11/18 02:02:12
2018-11-03 07:11:56 UTC,0.0,22.04,386.0,2.0,0.0,03/11/18 02:11:56
2018-11-03 07:21:41 UTC,0.0,21.98,386.0,2.0,0.0,03/11/18 02:21:41
2018-11-03 07:31:25 UTC,0.0,21.98,386.0,2.0,0.0,03/11/18 02:31:25
2018-11-03 07:41:10 UTC,0.0,21.98,388.0,2.0,0.0,03/11/18 02:41:10
2018-11-03 07:50:55 UTC,0.0,21.98,386.0,2.0,0.0,03/11/18 02:50:55
2018-11-03 08:00:39 UTC,0.0,21.93,387.0,2.0,0.0,03/11/18 03:00:39
2018-11-03 08:10:24 UTC,0.0,21.93,388.0,2.0,0.0,03/11/18 03:10:24
2018-11-03 08:20:09 UTC,0.0,21.93,388.0,2.0,0.0,03/11/18 03:20:09
2018-11-03 08:29:53 UTC,0.0,21.93,387.0,2.0,0.0,03/11/18 03:29:53
2018-11-03 08:39:38 UTC,0.0,21.88,386.0,2.0,0.0,03/11/18 03:39:38
2018-11-03 08:49:22 UTC,0.0,21.88,387.0,2.0,0.0,03/11/18 03:49:22
2018-11-03 08:59:07 UTC,0.0,21.82,390.0,2.0,0.0,03/11/18 03:59:07
2018-11-03 09:08:52 UTC,0.0,21.82,388.0,2.0,0.0,03/11/18 04:08:52
2018-11-03 09:18:36 UTC,0.0,21.82,387.0,2.0,0.0,03/11/18 04:18:36
2018-11-03 09:28:21 UTC,0.0,21.77,391.0,2.0,0.0,03/11/18 04:28:21
2018-11-03 09:38:06 UTC,0.0,21.77,388.0,2.0,0.0,03/11/18 04:38:06
2018-11-03 09:47:50 UTC,0.0,21.71,388.0,2.0,0.0,03/11/18 04:47:50
2018-11-03 09:57:35 UTC,0.0,21.71,388.0,2.0,0.0,03/11/18 04:57:35
2018-11-03 10:07:19 UTC,0.0,21.71,388.0,2.0,0.0,03/11/18 05:07:19
2018-11-03 10:17:04 UTC,0.0,21.66,389.0,2.0,0.0,03/11/18 05:17:04
2018-11-03 10:26:48 UTC,0.0,21.66,391.0,2.0,0.0,03/11/18 05:26:48
2018-11-03 10:36:33 UTC,0.0,21.66,388.0,2.0,0.0,03/11/18 05:36:33
2018-11-03 10:46:17 UTC,0.0,21.66,389.0,2.0,0.0,03/11/18 05:46:17
2018-11-03 10:56:02 UTC,0.0,21.66,390.0,2.0,0.0,03/11/18 05:56:02
2018-11-03 11:05:46 UTC,6.0,21.61,387.0,2.0,0.0,03/11/18 06:05:46
2018-11-03 11:15:31 UTC,4.0,21.61,387.0,2.0,0.0,03/11/18 06:15:31
2018-11-03 11:25:15 UTC,13.0,21.61,391.0,2.0,0.0,03/11/18 06:25:15
2018-11-03 11:35:00 UTC,6.0,21.61,387.0,2.0,0.0,03/11/18 06:35:00
2018-11-03 11:44:45 UTC,4.0,21.61,388.0,2.0,0.0,03/11/18 06:44:45
2018-11-03 11:54:29 UTC,15.0,21.61,391.0,2.0,0.0,03/11/18 06:54:29
2018-11-03 12:04:14 UTC,33.0,21.61,388.0,2.0,0.0,03/11/18 07:04:14
2018-11-03 12:13:58 UTC,48.0,21.61,388.0,2.0,0.0,03/11/18 07:13:58
2018-11-03 12:23:43 UTC,74.0,21.66,388.0,2.0,0.0,03/11/18 07:23:43
2018-11-03 12:33:27 UTC,116.0,21.66,389.0,2.0,0.0,03/11/18 07:33:27
2018-11-03 12:43:12 UTC,116.0,21.71,389.0,2.0,0.0,03/11/18 07:43:12
2018-11-03 12:53:20 UTC,157.0,21.77,391.0,2.0,1.0,03/11/18 07:53:20
2018-11-03 13:03:05 UTC,232.0,21.82,369.0,2.0,0.0,03/11/18 08:03:05
2018-11-03 13:12:50 UTC,232.0,21.93,365.0,2.0,0.0,03/11/18 08:12:50
2018-11-03 13:22:34 UTC,272.0,21.98,371.0,2.0,0.0,03/11/18 08:22:34
2018-11-03 13:32:20 UTC,226.0,22.15,370.0,2.0,0.0,03/11/18 08:32:20
2018-11-03 13:42:04 UTC,261.0,22.25,369.0,2.0,0.0,03/11/18 08:42:04
2018-11-03 13:51:50 UTC,349.0,22.36,372.0,2.0,0.0,03/11/18 08:51:50
2018-11-03 14:01:35 UTC,361.0,22.42,370.0,2.0,0.0,03/11/18 09:01:35
2018-11-03 14:11:20 UTC,222.0,22.52,370.0,2.0,0.0,03/11/18 09:11:20
2018-11-03 14:21:06 UTC,178.0,22.52,371.0,2.0,0.0,03/11/18 09:21:06
2018-11-03 14:30:51 UTC,218.0,22.58,370.0,2.0,0.0,03/11/18 09:30:51
2018-11-03 14:40:36 UTC,289.0,22.63,371.0,2.0,0.0,03/11/18 09:40:36
2018-11-03 14:50:21 UTC,383.0,22.63,371.0,2.0,0.0,03/11/18 09:50:21
2018-11-03 15:00:06 UTC,362.0,22.69,372.0,2.0,0.0,03/11/18 10:00:06
2018-11-03 15:09:52 UTC,387.0,22.8,372.0,2.0,0.0,03/11/18 10:09:52
2018-11-03 15:19:37 UTC,373.0,22.9,372.0,2.0,0.0,03/11/18 10:19:37
2018-11-03 15:29:23 UTC,428.0,23.01,373.0,2.0,0.0,03/11/18 10:29:23
2018-11-03 15:39:09 UTC,188.0,23.07,372.0,2.0,0.0,03/11/18 10:39:09
2018-11-03 15:48:54 UTC,446.0,23.12,372.0,2.0,0.0,03/11/18 10:48:54
2018-11-03 15:58:40 UTC,309.0,23.17,372.0,2.0,0.0,03/11/18 10:58:40
2018-11-03 16:08:25 UTC,340.0,23.23,373.0,2.0,0.0,03/11/18 11:08:25
2018-11-03 16:18:11 UTC,309.0,23.28,373.0,2.0,0.0,03/11/18 11:18:11
2018-11-03 16:27:57 UTC,286.0,23.28,372.0,2.0,0.0,03/11/18 11:27:57
2018-11-03 16:37:42 UTC,318.0,23.39,374.0,2.0,0.0,03/11/18 11:37:42
2018-11-03 16:47:28 UTC,241.0,23.44,373.0,2.0,0.0,03/11/18 11:47:28
2018-11-03 16:57:13 UTC,242.0,23.44,374.0,2.0,0.0,03/11/18 11:57:13
2018-11-03 17:06:59 UTC,290.0,23.5,374.0,2.0,0.0,03/11/18 12:06:59
2018-11-03 17:16:45 UTC,228.0,23.55,373.0,2.0,0.0,03/11/18 12:16:45
2018-11-03 17:26:30 UTC,188.0,23.55,373.0,2.0,0.0,03/11/18 12:26:30
2018-11-03 17:36:16 UTC,241.0,23.61,374.0,2.0,0.0,03/11/18 12:36:16
2018-11-03 17:46:02 UTC,282.0,23.66,373.0,2.0,0.0,03/11/18 12:46:02
2018-11-03 17:55:47 UTC,285.0,23.66,374.0,2.0,0.0,03/11/18 12:55:47
2018-11-03 18:05:33 UTC,261.0,23.66,375.0,2.0,0.0,03/11/18 13:05:33
2018-11-03 18:15:18 UTC,332.0,23.71,374.0,2.0,0.0,03/11/18 13:15:18
2018-11-03 18:25:05 UTC,333.0,23.77,375.0,2.0,0.0,03/11/18 13:25:05
2018-11-03 18:34:50 UTC,383.0,23.77,375.0,2.0,0.0,03/11/18 13:34:50
2018-11-03 18:44:36 UTC,366.0,23.82,375.0,2.0,0.0,03/11/18 13:44:36
2018-11-03 18:54:21 UTC,509.0,23.93,375.0,2.0,0.0,03/11/18 13:54:21
2018-11-03 19:04:07 UTC,526.0,23.98,377.0,1.0,0.0,03/11/18 14:04:07
2018-11-03 19:13:53 UTC,328.0,24.04,376.0,2.0,0.0,03/11/18 14:13:53
2018-11-03 19:23:39 UTC,309.0,24.04,375.0,2.0,0.0,03/11/18 14:23:39
2018-11-03 19:33:25 UTC,313.0,24.09,376.0,2.0,0.0,03/11/18 14:33:25
2018-11-03 19:43:11 UTC,266.0,24.15,374.0,2.0,0.0,03/11/18 14:43:11
2018-11-03 19:52:57 UTC,263.0,24.15,375.0,2.0,0.0,03/11/18 14:52:57
2018-11-03 20:02:43 UTC,242.0,24.15,375.0,2.0,0.0,03/11/18 15:02:43
2018-11-03 20:12:29 UTC,231.0,24.15,375.0,2.0,0.0,03/11/18 15:12:29
2018-11-03 20:22:15 UTC,204.0,24.2,376.0,2.0,0.0,03/11/18 15:22:15
2018-11-03 20:32:00 UTC,161.0,24.2,376.0,2.0,0.0,03/11/18 15:32:00
2018-11-03 20:41:46 UTC,130.0,24.2,375.0,2.0,0.0,03/11/18 15:41:46
2018-11-03 20:51:32 UTC,135.0,24.2,376.0,2.0,0.0,03/11/18 15:51:32
2018-11-03 21:01:17 UTC,129.0,24.2,377.0,2.0,0.0,03/11/18 16:01:17
2018-11-03 21:11:03 UTC,86.0,24.2,376.0,2.0,0.0,03/11/18 16:11:03
2018-11-03 21:20:49 UTC,76.0,24.2,377.0,2.0,0.0,03/11/18 16:20:49
2018-11-03 21:30:34 UTC,28.0,24.15,376.0,2.0,0.0,03/11/18 16:30:34
2018-11-03 21:40:20 UTC,26.0,24.15,376.0,2.0,0.0,03/11/18 16:40:20
2018-11-03 21:50:05 UTC,19.0,24.15,377.0,2.0,0.0,03/11/18 16:50:05
2018-11-03 21:59:51 UTC,48.0,24.09,378.0,2.0,0.0,03/11/18 16:59:51
2018-11-03 22:09:36 UTC,13.0,24.09,378.0,2.0,0.0,03/11/18 17:09:36
